movieId,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,posterUrl
tt0066498,The Ear,Ucho,1990,94,Drama_Thriller,https://image.tmdb.org/t/p/w185/tvLMBdTZPxMvWoBis5Sel05lDB6.jpg
tt0084870,Memories and Confessions,Visita ou Memórias e Confissões,1993,73,Biography_History,https://image.tmdb.org/t/p/w185/tlegdrvP1Q7IeyHqsMGijOVFM4J.jpg
tt0092507,Abhimanyu,Abhimanyu,1991,140,Crime_Drama_Musical,Unknown
tt0095111,Escape,El heroob,1991,122,Action_Crime_Drama,https://image.tmdb.org/t/p/w185/215owVwMdb6mN7nnPXwH1CLSEBd.jpg
tt0095450,King of Chess,Qi wang,1991,109,Drama,https://image.tmdb.org/t/p/w185/4c7k7CFBObemHxQ7Qf4s0OnA6Yw.jpg
tt0097013,Captain Power: The Beginning,Captain Power: The Beginning,1991,94,Action_Sci-Fi,https://image.tmdb.org/t/p/w185/t5IdjdnTkRAFLZt59I9Hz0o19vV.jpg
tt0097062,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi","Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",1990,139,Comedy_Romance,https://image.tmdb.org/t/p/w185/a3gpUtylwVqe7H0TaoxkF5dQxr2.jpg
tt0097106,A Tale of Springtime,Conte de printemps,1990,108,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/miFnbcthbgBoAaXGAIDHlrRtJ7y.jpg
tt0097253,Dezha vyu,Dezha vyu,1990,108,Comedy_Crime_History,https://image.tmdb.org/t/p/w185/93lIIZ1zUBES3nseNUcETUUof4m.jpg
tt0097416,Kadhalan,Kadhalan,1994,168,Action_Drama_Romance,https://image.tmdb.org/t/p/w185/tR5QhzdWei60uuCnLb71Lcrocn7.jpg
tt0097851,Mathilukal,Mathilukal,1990,120,Drama_Romance,https://image.tmdb.org/t/p/w185/wd66oMitPeU7sTJbT6iEYSI28FT.jpg
tt0097884,May Fools,Milou en mai,1990,107,Comedy_Romance,https://image.tmdb.org/t/p/w185/bnlsDTtlgvTnpLXg8iNav9b0xXE.jpg
tt0097996,Les noces de papier,Les noces de papier,1990,95,Drama,https://image.tmdb.org/t/p/w185/aZydT6Xjotzh71WQrIGDhqnNjDS.jpg
tt0098532,The Match Factory Girl,Tulitikkutehtaan tyttö,1990,69,Comedy_Drama,https://image.tmdb.org/t/p/w185/zHfabvr3RKEbNfksFBs2Cder91i.jpg
tt0098656,William S. Burroughs: Commissioner of Sewers,William S. Burroughs: Commissioner of Sewers,1991,60,Documentary,Unknown
tt0098999,Agneepath,Agneepath,1990,174,Action_Crime_Drama,https://image.tmdb.org/t/p/w185/fuwtUKevnrqv8zEcvcdT5XYF0nW.jpg
tt0099021,Always Remember I Love You,Always Remember I Love You,1990,95,Drama,https://image.tmdb.org/t/p/w185/2uSXtWBWzPfZ566L0yusGf4Qvgq.jpg
tt0099028,American Dream,American Dream,1990,98,Documentary,https://image.tmdb.org/t/p/w185/da6DPUrYsi3K2HzwalUpphtOHec.jpg
tt0099040,An Angel at My Table,An Angel at My Table,1990,158,Biography_Drama,https://image.tmdb.org/t/p/w185/2XjnTfO0Jr7Eclmzxfj5NEYojYe.jpg
tt0099043,Anjali,Anjali,1990,150,Drama_Family,https://image.tmdb.org/t/p/w185/qE5k9h81fzjnTFsH28THqggwrOV.jpg
tt0099073,Avalon,Avalon,1990,128,Drama,https://image.tmdb.org/t/p/w185/egTnj5urvsn3A0Q3qB1UEFbBDdR.jpg
tt0099077,Awakenings,Awakenings,1990,121,Biography_Drama,https://image.tmdb.org/t/p/w185/9gztZXuHLG6AJ0fgqGd7Q43cWRI.jpg
tt0099088,Back to the Future Part III,Back to the Future Part III,1990,118,Adventure_Comedy_Sci-Fi,https://image.tmdb.org/t/p/w185/zMiEnmacTUPXsIfRPeC0UGgyZFm.jpg
tt0099097,Bakenbardy,Bakenbardy,1990,100,Comedy,https://image.tmdb.org/t/p/w185/fZlnImODvAo7CsNuA07nHHsEcK5.jpg
tt0099121,Berkeley in the Sixties,Berkeley in the Sixties,1990,117,Documentary_History,https://image.tmdb.org/t/p/w185/sG2CLF5N5ASOxUHlkpj2mnZRccz.jpg
tt0099126,The Best of the Martial Arts Films,The Best of the Martial Arts Films,1990,90,Action_Documentary,https://image.tmdb.org/t/p/w185/hDeCk47CD5N7f1LyrDkyUde1opO.jpg
tt0099197,By Dawn's Early Light,By Dawn's Early Light,1990,100,Action_Drama_Thriller,https://image.tmdb.org/t/p/w185/yhNcI8fpXVj3fjCYV2OfyHdBUN3.jpg
tt0099225,Caroline?,Caroline?,1990,100,Drama,Unknown
tt0099241,Charuga,Caruga,1991,108,Adventure_Biography_Comedy,https://image.tmdb.org/t/p/w185/bBpk70MfQomkYrK8niVcBIQSoD6.jpg
tt0099266,My Mother's Castle,Le château de ma mère,1990,98,Adventure_Biography_Comedy,https://image.tmdb.org/t/p/w185/hw8Ec4jFuxSNCMUZiUpBKOMl65G.jpg
tt0099273,City Life,City Life,1990,251,Documentary_Drama,https://image.tmdb.org/t/p/w185/48CP8TlEo2Y8HQxWJJLP1d7LNkm.jpg
tt0099334,Cyrano de Bergerac,Cyrano de Bergerac,1990,137,Comedy_Drama_History,https://image.tmdb.org/t/p/w185/7X4lCnelWJIuoMRLZqom5aAWRUU.jpg
tt0099348,Dances with Wolves,Dances with Wolves,1990,181,Adventure_Drama_Western,https://image.tmdb.org/t/p/w185/cvaBVpS0GzKqBd63pFT8f1E8OKv.jpg
tt0099391,Decoration Day,Decoration Day,1990,100,Drama,https://image.tmdb.org/t/p/w185/aIx0gmMoi43E2EFul0gnEDUEnST.jpg
tt0099423,Die Hard 2,Die Hard 2,1990,124,Action_Thriller,https://image.tmdb.org/t/p/w185/yK1JNuFOBBzAdP7WB8SNtROjd85.jpg
tt0099426,Bullet in the Head,Dip huet gai tau,1990,136,Action_Crime_Drama,https://image.tmdb.org/t/p/w185/5tY6VtjHlQl4dOjVNhzyJaItkdr.jpg
tt0099446,Dr. Petiot,Docteur Petiot,1990,102,Biography_Crime_Drama,https://image.tmdb.org/t/p/w185/svwL5FYA1r0QM2jS2puk1BmZsLN.jpg
tt0099451,Don't Try This at Home!,Don't Try This at Home!,1990,47,Comedy,https://image.tmdb.org/t/p/w185/dQnpH1LUmBUvSdnx0e7YusHYPtY.jpg
tt0099464,The Dreamer of Oz,The Dreamer of Oz,1990,100,Biography_Drama_Family,https://image.tmdb.org/t/p/w185/3in27cpmw34wMI7ebCpaUTTYmdO.jpg
tt0099487,Edward Scissorhands,Edward Scissorhands,1990,105,Drama_Fantasy_Romance,https://image.tmdb.org/t/p/w185/1RFIbuW9Z3eN9Oxw2KaQG5DfLmD.jpg
tt0099558,Operation Condor,Fei ying gai wak,1991,106,Action_Adventure_Comedy,https://image.tmdb.org/t/p/w185/2vUTjpPIOYoUuxOUDKtYJ3iFvsa.jpg
tt0099566,The Field,The Field,1990,107,Drama_Thriller,https://image.tmdb.org/t/p/w185/ppF5pUheNoL0EPuGRIEnHz1ewp7.jpg
tt0099652,Ghayal,Ghayal,1990,163,Action_Crime_Drama,https://image.tmdb.org/t/p/w185/4LpT0OsORcPdrtHnolxRqtU3eo9.jpg
tt0099653,Ghost,Ghost,1990,127,Drama_Fantasy_Romance,https://image.tmdb.org/t/p/w185/2l8gBbsO4wu3RVmwwpF820G2NXo.jpg
tt0099669,My Father's Glory,La gloire de mon père,1990,105,Adventure_Biography_Drama,https://image.tmdb.org/t/p/w185/4zwgcaKqIJ5GB6kCPpyMLZuNyoi.jpg
tt0099670,Silent Gunpowder,Gluvi barut,1990,116,Drama_War,https://image.tmdb.org/t/p/w185/94DtyrNfxFgMz64AbN5u6Q54vb.jpg
tt0099674,The Godfather: Part III,The Godfather: Part III,1990,162,Crime_Drama,https://image.tmdb.org/t/p/w185/1hdm3Axw9LjITbApvAXBbqO58zE.jpg
tt0099682,"Good News: Newspaper Salesmen, Dead Dogs and Other People from Vienna","Good News: Von Kolporteuren, toten Hunden und anderen Wienern",1990,130,Documentary,https://image.tmdb.org/t/p/w185/tKS9H1xmwLueSNDmVhs2rrpsvCI.jpg
tt0099685,Goodfellas,Goodfellas,1990,146,Biography_Crime_Drama,https://image.tmdb.org/t/p/w185/6QMSLvU5ziIL2T6VrkaKzN2YkxK.jpg
tt0099721,Gunsmoke: The Last Apache,Gunsmoke: The Last Apache,1990,94,Western,https://image.tmdb.org/t/p/w185/utQJpx82yHh9AdYjaTzmYQrGKBS.jpg
tt0099729,Hamoun,Hamoun,1990,120,Drama,https://image.tmdb.org/t/p/w185/w5PTAnPuMXFS0BL9By6ppxA5L7j.jpg
tt0099734,"Happy Birthday, Bugs!: 50 Looney Years","Happy Birthday, Bugs!: 50 Looney Years",1990,48,Animation_Comedy_Documentary,https://image.tmdb.org/t/p/w185/63Jlp3Dmj12Xua98Q3hOuxM1Bfo.jpg
tt0099776,Europa Europa,Europa Europa,1990,112,Drama_History_War,https://image.tmdb.org/t/p/w185/oynyj8FoJpLWzZkLrj42WGhje6v.jpg
tt0099785,Home Alone,Home Alone,1990,103,Comedy_Family,https://image.tmdb.org/t/p/w185/rjc2a9N5pro1xGsSvvnJ1JDXRGm.jpg
tt0099810,The Hunt for Red October,The Hunt for Red October,1990,135,Action_Adventure_Thriller,https://image.tmdb.org/t/p/w185/4sVVRZ343Y9udgmN0QZBj5QVTin.jpg
tt0099818,I Hired a Contract Killer,I Hired a Contract Killer,1990,79,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/p343X7QppeByj9Sz6i003jNkens.jpg
tt0099845,Innisfree,Innisfree,1990,110,Documentary,https://image.tmdb.org/t/p/w185/43VpAaJJs5f9W9Avjs0S1IwSgm4.jpg
tt0099871,Jacob's Ladder,Jacob's Ladder,1990,113,Drama_Horror_Mystery,https://image.tmdb.org/t/p/w185/wTHHuGAlSRNStTHEeObYT82qRsN.jpg
tt0099902,Ju Dou,Ju Dou,1990,95,Drama_Romance,https://image.tmdb.org/t/p/w185/ejvX1lukPZZ10jatUWmKaXbhjGI.jpg
tt0099927,Song of the Exile,Ke tu qiu hen,1990,100,Drama,https://image.tmdb.org/t/p/w185/aKXsbhdVGrqDTtw5wD5Wln3ukoI.jpg
tt0099948,Kojak: None So Blind,Kojak: None So Blind,1990,91,Drama,https://image.tmdb.org/t/p/w185/yAAZxl3jzrNegj0it70ra4DK4Ui.jpg
tt0099949,Korczak,Korczak,1990,118,Biography_Drama_War,https://image.tmdb.org/t/p/w185/70CcvVufPkPSlT1GxB2wGZ2lGVs.jpg
tt0099996,Legacy,Legacy,1993,53,Drama_History_Western,https://image.tmdb.org/t/p/w185/uPuyyjYS2fv3nZuaMMdCq251gzt.jpg
tt0100002,Lekin...,Lekin...,1990,171,Drama_Fantasy_Musical,https://image.tmdb.org/t/p/w185/asvfTyox0vFSA3wYQ6me7KSBIgO.jpg
tt0100024,Life Is Sweet,Life Is Sweet,1990,103,Comedy_Drama,https://image.tmdb.org/t/p/w185/zdkKNQzzwyciP9vAohAPFZdujlA.jpg
tt0100046,The Long Walk Home,The Long Walk Home,1990,97,Drama_History,https://image.tmdb.org/t/p/w185/7T2oVjLHHIDY6FQH9e04oOgPWQa.jpg
tt0100063,The Love She Sought,The Love She Sought,1990,100,Drama,Unknown
tt0100112,The Hairdresser's Husband,Le mari de la coiffeuse,1990,82,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/uacdqiwlwEpqc5EwCEtiHbiwBAR.jpg
tt0100142,Metropolitan,Metropolitan,1990,98,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/852ZwTRj9tRxkGOT0Pu0Ep8yimk.jpg
