userId;movieId;enjoyRating;meaningRating;Creativity (Wisdom);Curiosity (Wisdom);Open-mindedness (Wisdom);Love of learning (Wisdom);Perspective (Wisdom);Bravery (Courage);Integrity (Courage);Vitality (Courage);Persistence (Courage);Love (Humanity);Kindness (Humanity);Social Intelligence (Humanity);Citizenship (Justice);Fairness (Justice);Leadership (Justice);Forgiveness and mercy (Temperance);Humility and modesty (Temperance);Prudence (Temperance);Self-regulation (Temperance);Appreciation of Beauty and Excellence (Transcendence);Gratitude (Transcendence);Hope (Transcendence);Humor (Transcendence);Spirituality (Transcendence)
0;tt0758758;5;5;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0;tt0485947;5;3;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
0;tt0180093;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;tt0810819;5;4.5;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;tt4034354;5;5;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;tt0268978;5;5;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;tt2096673;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1;tt0470752;4.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
1;tt2980516;5;5;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;tt0959337;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
